EC 1.1.1.190, [EC 1.1.1.190 created 1984]
EC 1.1.1.191, [EC 1.1.1.191 created 1984]
EC 1.1.1.192, [EC 1.1.1.192 created 1984]
EC 1.1.1.193, [EC 1.1.1.193 created 1984, modified 2011]
EC 1.1.1.194, [EC 1.1.1.194 created 1984]
EC 1.1.1.195, [EC 1.1.1.195 created 1984]
EC 1.1.1.196, [EC 1.1.1.196 created 1984, modified 1990]
EC 1.1.1.197, [EC 1.1.1.197 created 1984]
EC 1.1.1.198, [EC 1.1.1.198 created 1984, modified 1990]
EC 1.1.1.199, [EC 1.1.1.199 created 1984]
EC 1.1.1.2, [EC 1.1.1.2 created 1961]
EC 1.1.1.20, [EC 1.1.1.20 created 1961]
EC 1.1.1.200, [EC 1.1.1.200 created 1984]
EC 1.1.1.201, [EC 1.1.1.201 created 1984]
EC 1.1.1.202, [EC 1.1.1.202 created 1984]
EC 1.1.1.203, [EC 1.1.1.203 created 1972, EC 1.2.1.35, transfered 1984, modified 2014]
EC 1.1.1.204, [EC 1.1.1.204 created 1972, EC 1.2.1.37, transfered 1984, modified 1989, deleted 2004]
EC 1.1.1.205, [EC 1.1.1.205 created 1961, EC 1.2.1.14, transfered 1984]
EC 1.1.1.206, [EC 1.1.1.206 created 1984, modified 2007]
EC 1.1.1.207, [EC 1.1.1.207 created 1984]
EC 1.1.1.208, [EC 1.1.1.208 created 1984]
EC 1.1.1.209, [EC 1.1.1.209 created 1986]
EC 1.1.1.21, [EC 1.1.1.21 created 1961]
EC 1.1.1.210, [EC 1.1.1.210 created 1986]
EC 1.1.1.211, [EC 1.1.1.211 created 1986]
EC 1.1.1.212, [EC 1.1.1.212 created 1986]
EC 1.1.1.213, [EC 1.1.1.213 created 1986, modified 2012, modified 2013]
EC 1.1.1.214, [EC 1.1.1.214 created 1986, modified 1999, modified 2013]
EC 1.1.1.215, [EC 1.1.1.215 created 1989]
EC 1.1.1.216, [EC 1.1.1.216 created 1989]
EC 1.1.1.217, [EC 1.1.1.217 created 1989]
EC 1.1.1.218, [EC 1.1.1.218 created 1989, modified 1990]
EC 1.1.1.219, [EC 1.1.1.219 created 1989, modified 2016]
EC 1.1.1.22, [EC 1.1.1.22 created 1961]
EC 1.1.1.220, [EC 1.1.1.220 created 1989]
EC 1.1.1.221, [EC 1.1.1.221 created 1989]
EC 1.1.1.222, [EC 1.1.1.222 created 1989]
EC 1.1.1.223, [EC 1.1.1.223 created 1989]
EC 1.1.1.224, [EC 1.1.1.224 created 1989]
EC 1.1.1.225, [EC 1.1.1.225 created 1989]
EC 1.1.1.226, [EC 1.1.1.226 created 1990]
EC 1.1.1.227, [EC 1.1.1.227 created 1990]
EC 1.1.1.228, [EC 1.1.1.228 created 1990]
EC 1.1.1.229, [EC 1.1.1.229 created 1990]
EC 1.1.1.23, [EC 1.1.1.23 created 1961]
EC 1.1.1.230, [EC 1.1.1.230 created 1990]
EC 1.1.1.231, [EC 1.1.1.231 created 1990]
EC 1.1.1.232, [EC 1.1.1.232 created 1992]
EC 1.1.1.233, [EC 1.1.1.233 created 1992]
EC 1.1.1.234, [EC 1.1.1.234 created 1992]
EC 1.1.1.235, [EC 1.1.1.235 created 1992]
EC 1.1.1.236, [EC 1.1.1.236 created 1992, modified 2007]
EC 1.1.1.237, [EC 1.1.1.237 created 1992]
EC 1.1.1.238, [EC 1.1.1.238 created 1992]
EC 1.1.1.239, [EC 1.1.1.239 created 1992, modified 2012]
EC 1.1.1.24, [EC 1.1.1.24 created 1961, modified 1976, modified 2004]
EC 1.1.1.240, [EC 1.1.1.240 created 1992]
EC 1.1.1.241, [EC 1.1.1.241 created 1992]
EC 1.1.1.242, [EC 1.1.1.242 created 1992, deleted 2001]
EC 1.1.1.243, [EC 1.1.1.243 created 1992]
